SpeechID	Date	CleanText	Related	Frequency	size
VSJB111202050	2020-11-01	president trump will hold another one of his potential super-spreader rallies in florida tonight, putting his supporters and floridians they come into contact with in danger. this rally isn't for floridians; it's to fuel his own ego, with no regard for the issues working floridians face every day. over 16,500 floridians have lost their lives to covid-19 and hundreds of thousands are without work because of president trump's failed leadership and lies. as cases continue to rise ahead of election day, president trump offers no plan to contain the spread of the coronavirus, or a plan to get the more than 750,000 floridians who've lost their jobs in this crisis back to work. his failures truly know no bounds. the good news is the end of president trump's failed leadership is near. floridians have the power to make a change through your vote. as president, i'll implement a plan to get this pandemic under control, rebuild an economy that works for all of us, and lower health care costs and expand health insurance coverage. the possibilities are endless when you have a president who works for the american people, not himself.	1	3	2.32
MEJB306202044_part5	2020-06-30	own supplies and must reuse masks shift after shift hundreds of health care workers have died from covid 19 and tens of thousands have been infected it should be zero on both counts how are we this many months in and we still still don't have what we need this is why we have a defense production act use your authority this week mr president to scale up the production of n 95 masks the steps you've taken so far haven't gotten the job done fix the shortage of ppe for our health care workers before you tee off for yet another round of golf we can't just look at where we are today we're going to need masks and gloves and face shields for the foreseeable future we need to be ready third there should be a laser focus on treatments and vaccines we should be leading a coordinated global approach on the science not disregarding the experts while pushing dangerous and disproven drugs as a treatment there has been some progress towards treatments and vaccines but the administration hasn't been transparent about how they plan to manufacture enough doses and make sure they are equitably distributed at scale every person in the united states must be able to get the vaccine when available the white house should report weekly on this progress we can't end up with the same scarcity and distribution problems we did with testing and we need to make sure that consumers aren't being gouged	1	3	2.32
MEJB97202041_part3	2020-07-09	before covid 19 he promised to buy american but he let federal contractors double the rate of offshoring jobs in his first 18 months in office and when it comes to covid 19 after months of doing nothing other than predicting the virus would disappear trump has simply given up he's waved the white flag and walked away and his failures come with a terrible human cost and a deep economic toll time and time again working families are paying the price for donald trump's incompetence small business has ended up with the short end of the stick too less than a third of the massive amount of money the congress and the federal reserve made available to the private sector has gone to main street businesses big business the wealthy trump's cronies and pals they've been the big winners again the truth is throughout this crisis donald trump has been almost singularly focused on the stock market the dow the nasdaq not you not your families but if i'm elected president i will be laser focused on working families and the middle class not the wealthy investor class and this will be my guiding principle we will reward hard work not excessive wealth you see growing up rich and looking down on people is very different from how i grew up here in scranton here nobody thought wall street bankers and ceos built this country you could just look around your neighborhood or your kitchen table and see who	0	0	1.0
CSPANJB2112020146_part11	2020-11-02	might have seen the debate ahead of them i was standing next to abraham lincoln he said not since abraham lincoln has anyone done as much for the african american communities i have i turned him and ask him a he got offended you got offended look pittsburgh honk if you think his commitment of having dunmore for the african american community and abraham lincoln is true honk your horn silence you got it man pittsburgh honk if you think it's a bunch of malarkey why you got it look the truth is donald thas done maura harm black america and then the president in modern history this is the same man who started the birther movement against my buddy barack obama is the first man that's the man who in the first black woman running for vice president he looks at her he calls her a monster oh yeah man remember on stage with them when i ask about the proud boys that racist group of white supremacists he said i said would you deny them he turned and he said i'm gonna tell him toe stand down and stand by when in god's name did you ever expect american president say who refused it announced white supremacy doesn't believe systemic racism is a problem i won't even say black lives matter black lives matter what i work to deliver real police and criminal reform justice reform we know we know but true justice is all about it's not	0	0	1.0
MCJB201202120_part8	2021-01-20	by the power of our example we will be a strong and trusted partner for peace progress and security we have been through so much in this nation and in my first act as president i would like to ask you to join me in a moment of silent prayer to remember all those we lost this past year to the pandemic to those 400,000 fellow americans mothers and fathers husbands and wives sons and daughters friends neighbors and co workers we will honor them by becoming the people and nation we know we can and should be let us say a silent prayer for those who lost their lives for those they left behind and for our country amen this is a time of testing we face an attack on democracy and on truth a raging virus growing inequity the sting of systemic racism a climate in crisis america's role in the world any one of these would be enough to challenge us in profound ways but the fact is we face them all at once presenting this nation with the gravest of responsibilities now we must step up all of us it is a time for boldness for there is so much to do and this is certain we will be judged you and i for how we resolve the cascading crises of our era will we rise to the occasion will we master this rare and difficult hour will we meet our obligations and pass along a	1	1	1.58
VSJB1122020186_part4	2020-12-01	after my dad lost his job in scranton pennsylvania and eventually moved the family not far from here in claymont delaware he'd say joey a job is about a lot more than a paycheck it's about dignity respect your place in the community it's about being able to look your kid in the eye and say that everything will be okay he also used to say joey i don't expect the government to solve my problems but i expect it to understand my problems this team understands for secretary of the treasury i nominate janet yellen no one is better prepared for this crisis she will be the first treasury secretary who was also chair of the federal reserve vice chair of the federal reserve and chair of the president's council of economic advisors janet is one of the most important economic thinkers of our time she has spent her career focused on employment and the dignity of work she understands what a job means to people and their communities respected across party lines and around the world by main street and wall street an educator a mentor above all the daughter of a working class brooklyn neighborhood who never forgot where she came from her husband george is pretty good too he is a nobel prize recipient but he's the one who married up janet will be the first woman to hold this office we might have to ask lin manuel miranda who wrote a musical about the first	0	0	1.0
VSJB112202039_part2	2020-12-01	in this moment will match their unparalleled example	0	0	1.0
VSJB972020204_part10	2020-07-09	because of this pandemic everyone has a renewed appreciation for just how hard our teachers work and how important their job is let's give them the resources and support they need to both get through this crisis and to empower the next generation of american ground breakers let's pay them finally we've seen with horrifying clarity the costs of systemic racism in america we need a comprehensive agenda for racial equity in this country this isn't just about police reform it's about dealing with the deep wound of systemic racism in this nation so we need a dedicated agenda to close the wealth gap to expand affordable housing to invest in black brown aapi and native american entrepreneurs and to make real the promise of educational opportunity for too long the battle for racial equity has divided america when it should unite us donald trump cynically claims that he is defending america's heritage by embracing a flag and public monuments to people who tried to permanently rip this nation apart do you think trump has any idea that 360,000 pennsylvanians fought on the side of the union to defeat that flag including more black soldiers than any other state do you think he has any clue that 33,000 pennsylvanians died in the civil war fighting against everything that flag stood for i see a different america than trump one that despite all our flaws and shortcomings and failings is still after more than two centuries dedicated to equality liberty human	1	1	1.58
CSPANJB27102020124_part7	2020-10-27	me the honor of serving as your president clear the decks for action for we will act we will act on the first day of my presidency to get covid under control we will act to pass an economic plan that will finally reward work not wealth in this country we will act to pass my health care plan to provide an accessible health care for every american and drug prices that are genetically lower we will act to pass the biting climate plan to meet the challenges of a climate crisis while creating millions of good pay high paying labor jobs we will act to address we will act to give working people a shot again we will act to restore our faith in democracy and our faith in one another today we are facing a public health crisis of historic proportions with winter at hand it is getting worse just last friday 83,000 new cases in one day saturday another 83,000 cases nearly 1000 people a day are dying another 200,000 deaths are expected over the next several months and the president keeps telling us not to worry he keeps telling us we are turning the corner he says it is as removed from reality and as removed from reality and is offensive when he told us the virus affects virtually nobody just the elderly with heart conditions virtually nobody just the elderly with heart conditions as if they do not matter what he said in response to	0	0	1.0
CSPANJB1610201925_part11	2019-10-16	there is a way there is no negotiation the united states should be set up to facilitate those talks in the free world requires us to show up and have some skin in the game we shouldn't be delegating this to putin we have an obligation to provide critically humanitarian support with the refugee crisis unfolding before our very eyes the trump administration sending humanitarian aid to syria but that is only one quarter of the 200 million that had already been sent but he suspended that last year how will that be distributed on the front line humanitarian groups all through the region how will they do this as they pull the staff out of the areas we are fighting we should be willing to carry out the air lifts and fire on food and water and to remain laser focused to prevent any resurgence of isis into prison vent villages from turkish attack it's easy to imagine isis re growing and filling the void we cannot let that happen for our own safety sake no matter how much donald trump tweets it's easy for europeans to escape isis fighters or for us to go back that didn't work before that's not how it worked the first time and certainly not now if we have to fight isis again during our administration we build a coalition to take on isis with 81 partners that was part of my responsibility to put that together eighty other nations to participate with	0	0	1.0
VSJB2610202066_part2	2020-10-26	down costs and give you more choices vote to protect the fundamental idea that health care is a right not a privilege and vote for the legacy of the late justice ruth bader ginsburg she was proof that courage conviction and moral clarity can change not just the law but also the world let us continue to be voices for justice in her name vote	0	0	1.0
MEJB1642020100_part2	2020-04-16	recovery because the faster everyone returns to their jobs the faster we can improve demand and get our economy running again.the trump administration has been given a number of extraordinary tools to make this happen to keep people employed yet they are failing to use them effectively for more people to stay in their jobs donald trump has to do his job.as this crisis continues to unfold i will be putting forward ideas to not only better address the immediate needs of working americans but also what is needed for long term structural reform to make our economy work for all its people.so today as we see these chilling numbers of job losses each one a mother or father a neighbor or friend a proud hardworking american i am calling for a bigger and bolder approach to keeping people on the job in times of crisis that idea is called short time compensation or work sharing i call it employment insurance.the biden plan to scale up employment insurance by reforming short time compensation program transform unemployment insurance into employment insurance for millions of workers by getting all 50 states to adopt and dramatically scale up short time compensation programs under short time compensation also known as work sharing firms in distress keep workers employed but at reduced hours and the federal government helps make up the difference in wages the obama biden administration championed this approach in the u.s and so far 27 states have established short time compensation programs.these	0	0	1.0
CSPANJB312201933_part21	2019-12-03	a heartbeat china has great potential my god the problems they have there are overwhelming they don't have enough water they're talking about a trillion dollar project to turn rivers around to make them flow north so people can have enough water to drink it's not a good thing it's not good i am not happy they're having that problem they find themselves in a position where a significant portion of land somewhere estimates between 30 and 45 of their landed is their land is pretty polluted and can't produce crops they have a million muslim uighurs in the west in re education camps better known as concentration camps you see what's happening in hong kong today you see what's happened in the region they have problems that makes ours pale in comparison we have to invest in our own people though secondly we have the greatest research universities in all the world we have more great research universities in state in this nation than all the rest of the world combined every major new life changing altering thing that comes out of those research universities monetized monetized by business but you own them you own them our people we have the best educated scientists in the world we're on the verge of being able to change cancer as we know it deal with alzheimer's if we invest in it make significant changes so it's time to remember who we are this is the united states of america so it's	0	0	1.0
MEJB832020121_part3	2020-03-08	to reinstate and expand the global gag rule has had devastating effects on the health and well being of women around the world with fewer organizations providing critical healthcare and his implementation of this rule here in the united states has cut funds to over 900 women's health clinics that primarily serve women of color trump administration policies have sought to cut funds for global efforts to improve child and maternal health and to halt the spread of hiv aids his administration's cruel immigration policies have rejected asylum claims for women fleeing horrific gender based violence and made it much more difficult for foreign women and girls who were trafficked into the united states to obtain visas and receive the medical and social services they need to recover he has watered down and threatened to veto un security council resolutions that address sexual violence in conflict making it far more difficult for the international community to hold the perpetrators of such violence accountable and ensure survivors have access to the health and support services they need as president i will reverse these setbacks and go further to empower women at home and around the world i will restore america's role as a champion for women and girls revitalize our leadership at the united nations and on the world stage to unlock the potential of half the world's population and renew life saving investments in women's health i will ensure that all u.s efforts amplify the voices of women leaders around	0	0	1.0
VSJB1910202080	2020-10-19	as the cameron peak fire reaches over 200,000 acres, becoming the largest wildfire in colorado history, and the calwood fire continues to grow, jill and i are keeping coloradans in our thoughts. we stand with families in colorado who have had their lives upended from the damage and the need to evacuate, exacerbating the already challenging situation brought on by the covid-19 pandemic. we extend our tremendous thanks to the brave first responders throughout larimer and boulder county who have been working diligently on the containment of these fires. the science is clear, and deadly signs like these are unmistakable , climate change poses an imminent, existential threat to our way of life. we need to act now to avoid a future defined by mounting disasters brought on by climate change. we can, and we must, come together to build a better future for our children and our communities. in the meantime, jill and i urge everyone in the path of the wildfires to stay safe and heed the guidance of local officials as our courageous firefighters work to contain the ongoing fires.	1	2	2.0
CSPANJB209202095_part7	2020-09-20	court there is no court session between now and the end of the election that moment is now for the voters to get a chance to be heard and their voices should be heard they will not stand for this abuse of power this constitutional abuse there is no can no discussion on the eve of an election or the lame duck donald trump loses justice ginsburg what happens but that discussion assumes we move this effort to prevent the grave wrong just that mcconnell is pursuing here i believe the voices of the american people should and will be heard this fight this nomination will not be over until the senate vote winning that vote if it happens is everything action and reaction anger and more anger that is the cycle of that republican senators will continue to perpetuate as they go down this dangerous path that they put us on we need to deescalate not escalate it is why i appealed to the few senate republicans who really will decide what happens please follow your conscience do not vote to confirm anyone nominated do not go there uphold your constitutional duty your conscience let people speak we cannot keep rewriting history and scrapping norms ignoring our cherished system of checks and balances that includes this whole business of releasing the list of nominees that i would put forward and they said biden should releases list after ruth bader ginsburg passed away it is a game for them it	0	0	1.0
CSPANJB13102020112_part6	2020-10-13	i i was able to manage it myself was that put 147 billion in state and local authorities be able to balance their budgets not have to fire police officers or firefighters come not fired first responders not too close to health clinics local governments or straight to the breaking point turkey turned his back on educators and school children took away support from ppe and cleaning supplies and ventilation you to reopen school safety which we could do if we funded it he turns his back on every single worker whose job hasn't come back and now he says he wants a deal one day he's tweeting relief package is too big the next day saying it's too small it's all a game he thinks he is still on his game show no really he asked that way for real this is a fluke again he is playing his latest gimmick he wants to mail seniors at 200 prescription drug cash card with his name on it so you get it before election with his name on it but what he's going to do is he's going to raid medicare trust fund to pay for that 200 which seniors have already spent by paying money into he thinks he can take the money out of your pocket with one hand and put it back with his name stamped on it on the other hand and call it a gift it's dishonest it's reckless and it doesn't actually help anybody	0	0	1.0
CSPANJB78201916_part8	2019-08-07	is the loudest that has allowed us to stand as a beacon to the world be a part of something bigger than ourselves it's a code it's a uniquely american code it's who we are donald trump doesn't get it but this president doesn't understand is that like every other nation on earth we are unable to define what constitutes america by religion by ethnicity or by tribe you can't do it america is an idea an idea stronger than any army eger than any ocean more powerful than any dictator or tyrant it gives hope to the most desperate people on earth because not only are our values under assault our democracy is as well a free press an independent judiciary a legislature that is the coequal branch of government these other guardrails these other guardrails of our democracy they are written into our constitution if you have noticed for the last two years they have been under attack phrases like fake news enemy of the people they are no joke they are insidious they are corrosive just look around the world the worst despots are using trumps language to justify their own abuses of power trump is trying to weaken our institutions the press the courts congress precisely because they are the only checks on his power that's what this is all about the abuse of power there's one thing i can't stand and i know you can't the abuse of power whether it is a boss taking	0	0	1.0
CSPANJB128202082_part1	2020-08-12	hello hello thanks for being here i wish we were able to talk to folks outside but we are keeping our social distancing and playing by the rules good afternoon everyone to me and to kamala this is an exciting day this is a great day for our campaign and a great game for great day for america in our view i have had the incredible privilege with meeting and spending time with a talented group of women leaders all of whom are qualified to be president with each one the more i learn about them the more i talk to them the more impressed i was even though i knew that before i want to thank each and everyone of them for being part of this process and i look forward to working with them as we rebuild this country to get elected and once we are elected god willing i approach this with a seriousness a purpose and a mind because this is a serious moment for our nation we are at one of those inflection points you have heard me say that before in our history a life changing election for this nation the choice the choice we make this november is going to decide the future of america for a very very long time and i had a great choice great opportunities i had a great choice but i have no doubt that i picked the right person to join me as the next vice president	0	0	1.0
VSJB712021172_part5	2021-01-07	have been treated very differently than the mob that stormed the capitol we all know that's true and that is totally unacceptable and the american people saw it in plain view and i hope it sensitized them to what we have to do not many people know it but the reason the department of justice was formed in 1870 was to enforce the civil rights amendments that grew out of the civil war the 13th 14th and 15th amendments to stand up to the klan to take on domestic terrorism this original spirit must once again guide and animate its work so as we stand here today we do so in the wake of yesterday's events events that could not more vividly demonstrate some of the most important work we have to do in this nation committing ourselves to the rule of law in this nation invigorating our democratic institutions carrying out equal justice under the law in america there is no more important place for us to do this work than at the department of justice and there are no more important people to carry out this work than the people i am announcing today more than anything we need to restore the honor the integrity and the independence of the department of justice in this nation i want it to be clear to those who lead the department and those who serve there you don't work for me your loyalty isn't to me it is to the law	0	0	1.0
